name,url,country,Population,article_title,revision_id,prediction
Majah Ha Adrif,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,afghanistan,42.4,Majah Ha Adrif,1233202991.0,Start
Haroon al-Afghani,https://en.wikipedia.org/wiki/Haroon_al-Afghani,afghanistan,42.4,Haroon al-Afghani,1230459615.0,B
Tayyab Agha,https://en.wikipedia.org/wiki/Tayyab_Agha,afghanistan,42.4,Tayyab Agha,1225661708.0,Start
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,afghanistan,42.4,Khadija Zahra Ahmadi,1234741562.0,Stub
Aziza Ahmadyar,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,afghanistan,42.4,Aziza Ahmadyar,1195651393.0,Start
Muqadasa Ahmadzai,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,afghanistan,42.4,Muqadasa Ahmadzai,1235521766.0,Start
Mohammad Sarwar Ahmedzai,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,afghanistan,42.4,Mohammad Sarwar Ahmedzai,1176429234.0,Start
Amir Muhammad Akhundzada,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,afghanistan,42.4,Amir Muhammad Akhundzada,1247931713.0,Start
Nasrullah Baryalai Arsalai,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,afghanistan,42.4,Nasrullah Baryalai Arsalai,1225385278.0,Start
Abdul Rahim Ayoubi,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,afghanistan,42.4,Abdul Rahim Ayoubi,1226326055.0,Start
Ismael Balkhi,https://en.wikipedia.org/wiki/Ismael_Balkhi,afghanistan,42.4,Ismael Balkhi,1244521219.0,Start
Abdul Baqi Turkistani,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,afghanistan,42.4,Abdul Baqi Turkistani,1231655023.0,Stub
Mohammad Ghous Bashiri,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,afghanistan,42.4,Mohammad Ghous Bashiri,1237694188.0,Start
Jan Baz,https://en.wikipedia.org/wiki/Jan_Baz,afghanistan,42.4,Jan Baz,1227635806.0,Stub
Bashir Ahmad Bezan,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,afghanistan,42.4,Bashir Ahmad Bezan,1248505877.0,Start
Rafiullah Bidar,https://en.wikipedia.org/wiki/Rafiullah_Bidar,afghanistan,42.4,Rafiullah Bidar,1197443408.0,Stub
Mohammad Siddiq Chakari,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,afghanistan,42.4,Mohammad Siddiq Chakari,1134129082.0,Stub
Cheragh Ali Cheragh,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,afghanistan,42.4,Cheragh Ali Cheragh,1193992206.0,Start
Nasir Ahmad Durrani,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,afghanistan,42.4,Nasir Ahmad Durrani,988838315.0,Stub
Muhammad Hashim Esmatullahi,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,afghanistan,42.4,Muhammad Hashim Esmatullahi,949986748.0,Stub
Ezatullah (Nangarhar),https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),afghanistan,42.4,Ezatullah (Nangarhar),1158302291.0,Stub
Aimal Faizi,https://en.wikipedia.org/wiki/Aimal_Faizi,afghanistan,42.4,Aimal Faizi,1185105938.0,Stub
Gajinder Singh Safri,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,afghanistan,42.4,Gajinder Singh Safri,1212323536.0,Stub
Sharif Ghalib,https://en.wikipedia.org/wiki/Sharif_Ghalib,afghanistan,42.4,Sharif Ghalib,1245967190.0,Start
Hashmat Ghani Ahmadzai,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,afghanistan,42.4,Hashmat Ghani Ahmadzai,1207743719.0,C
Abdul Ghani Ghani,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,afghanistan,42.4,Abdul Ghani Ghani,1227026187.0,Stub
Ghulam Ghaus,https://en.wikipedia.org/wiki/Ghulam_Ghaus,afghanistan,42.4,Ghulam Ghaus,1158659195.0,Stub
Ghulam Muhammad Ghobar,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,afghanistan,42.4,Ghulam Muhammad Ghobar,1240993642.0,Stub
Mohammad Gul (Helmand Council),https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),afghanistan,42.4,Mohammad Gul (Helmand Council),1136611354.0,Stub
Sayed Yousuf Halim,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,afghanistan,42.4,Sayed Yousuf Halim,1234514565.0,Stub
Rangina Hamidi,https://en.wikipedia.org/wiki/Rangina_Hamidi,afghanistan,42.4,Rangina Hamidi,1234743111.0,C
Sayed Zafar Hashemi,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,afghanistan,42.4,Sayed Zafar Hashemi,1179137138.0,Start
Qutbuddin Hilal,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,afghanistan,42.4,Qutbuddin Hilal,1246566795.0,Start
Mahboba Hoqomal,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,afghanistan,42.4,Mahboba Hoqomal,1243745950.0,Stub
Musa Hotak,https://en.wikipedia.org/wiki/Musa_Hotak,afghanistan,42.4,Musa Hotak,1246566804.0,Start
Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,afghanistan,42.4,Mirza Muhammad Ismail,1235165845.0,C
Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,afghanistan,42.4,Sayed Jalal,1137130537.0,Start
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,afghanistan,42.4,Said Tayeb Jawad,1248976824.0,C
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,afghanistan,42.4,Sayed Jalal Karim,1136614743.0,Start
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,afghanistan,42.4,Hafizullah Shabaz Khail,1238402857.0,Start
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,afghanistan,42.4,Masoud Khalili,1246566971.0,GA
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),afghanistan,42.4,Mohammad Khan (athlete),1247727443.0,Stub
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,afghanistan,42.4,Samoud Khan,1195409073.0,Start
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,afghanistan,42.4,Baran Khan Kudezai,1176481824.0,Start
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,afghanistan,42.4,Azizullah Lodin,1247762293.0,Start
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,afghanistan,42.4,Razaq Mamoon,1227180106.0,Start
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,afghanistan,42.4,Fazel Ahmed Manawi,1234514379.0,Start
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,afghanistan,42.4,Moeen Marastial,1246567093.0,Start
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,afghanistan,42.4,Ahmad Wali Massoud,1221720658.0,Start
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,afghanistan,42.4,Mohammad Daud Miraki,1227103354.0,C
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,afghanistan,42.4,Abdul Sattar Mirzakwal,1145249317.0,Stub
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,afghanistan,42.4,Abdul Karim Misaq,1235405154.0,Stub
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),afghanistan,42.4,Ali Mohammad (politician),1136630194.0,Stub
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,afghanistan,42.4,Nasruddin Mohseni,1136630129.0,Start
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,afghanistan,42.4,Davood Moradian,1239319380.0,Stub
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,afghanistan,42.4,Zalmai Mujadidi,1223903677.0,Start
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,afghanistan,42.4,Sardar Mohammad Nadir Naeem,1204109653.0,Stub
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,afghanistan,42.4,Daoud Naji,1247131367.0,Start
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,afghanistan,42.4,Gholam Rabani Nasher,1136534788.0,Stub
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,afghanistan,42.4,Ghulam Faroq Nijrabi,1136614778.0,Stub
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,afghanistan,42.4,Zabih-U-llah Ghazi Noristani,1136614682.0,Start
