name,country,Population,revision_id,article_quality,Region,Region_Population
Majah Ha Adrif,afghanistan,42.4,1233202991.0,Start,SOUTH ASIA,2029.0
Haroon al-Afghani,afghanistan,42.4,1230459615.0,B,SOUTH ASIA,2029.0
Tayyab Agha,afghanistan,42.4,1225661708.0,Start,SOUTH ASIA,2029.0
Khadija Zahra Ahmadi,afghanistan,42.4,1234741562.0,Stub,SOUTH ASIA,2029.0
Aziza Ahmadyar,afghanistan,42.4,1195651393.0,Start,SOUTH ASIA,2029.0
Muqadasa Ahmadzai,afghanistan,42.4,1235521766.0,Start,SOUTH ASIA,2029.0
Mohammad Sarwar Ahmedzai,afghanistan,42.4,1176429234.0,Start,SOUTH ASIA,2029.0
Amir Muhammad Akhundzada,afghanistan,42.4,1247931713.0,Start,SOUTH ASIA,2029.0
Nasrullah Baryalai Arsalai,afghanistan,42.4,1225385278.0,Start,SOUTH ASIA,2029.0
Abdul Rahim Ayoubi,afghanistan,42.4,1226326055.0,Start,SOUTH ASIA,2029.0
Ismael Balkhi,afghanistan,42.4,1244521219.0,Start,SOUTH ASIA,2029.0
Abdul Baqi Turkistani,afghanistan,42.4,1231655023.0,Stub,SOUTH ASIA,2029.0
Mohammad Ghous Bashiri,afghanistan,42.4,1237694188.0,Start,SOUTH ASIA,2029.0
Jan Baz,afghanistan,42.4,1227635806.0,Stub,SOUTH ASIA,2029.0
Bashir Ahmad Bezan,afghanistan,42.4,1248505877.0,Start,SOUTH ASIA,2029.0
Rafiullah Bidar,afghanistan,42.4,1197443408.0,Stub,SOUTH ASIA,2029.0
Mohammad Siddiq Chakari,afghanistan,42.4,1134129082.0,Stub,SOUTH ASIA,2029.0
Cheragh Ali Cheragh,afghanistan,42.4,1193992206.0,Start,SOUTH ASIA,2029.0
Nasir Ahmad Durrani,afghanistan,42.4,988838315.0,Stub,SOUTH ASIA,2029.0
Muhammad Hashim Esmatullahi,afghanistan,42.4,949986748.0,Stub,SOUTH ASIA,2029.0
Ezatullah (Nangarhar),afghanistan,42.4,1158302291.0,Stub,SOUTH ASIA,2029.0
Aimal Faizi,afghanistan,42.4,1185105938.0,Stub,SOUTH ASIA,2029.0
Gajinder Singh Safri,afghanistan,42.4,1212323536.0,Stub,SOUTH ASIA,2029.0
Sharif Ghalib,afghanistan,42.4,1245967190.0,Start,SOUTH ASIA,2029.0
Hashmat Ghani Ahmadzai,afghanistan,42.4,1207743719.0,C,SOUTH ASIA,2029.0
Abdul Ghani Ghani,afghanistan,42.4,1227026187.0,Stub,SOUTH ASIA,2029.0
Ghulam Ghaus,afghanistan,42.4,1158659195.0,Stub,SOUTH ASIA,2029.0
Ghulam Muhammad Ghobar,afghanistan,42.4,1240993642.0,Stub,SOUTH ASIA,2029.0
Mohammad Gul (Helmand Council),afghanistan,42.4,1136611354.0,Stub,SOUTH ASIA,2029.0
Sayed Yousuf Halim,afghanistan,42.4,1234514565.0,Stub,SOUTH ASIA,2029.0
Rangina Hamidi,afghanistan,42.4,1234743111.0,C,SOUTH ASIA,2029.0
Sayed Zafar Hashemi,afghanistan,42.4,1179137138.0,Start,SOUTH ASIA,2029.0
Qutbuddin Hilal,afghanistan,42.4,1246566795.0,Start,SOUTH ASIA,2029.0
Mahboba Hoqomal,afghanistan,42.4,1243745950.0,Stub,SOUTH ASIA,2029.0
Musa Hotak,afghanistan,42.4,1246566804.0,Start,SOUTH ASIA,2029.0
Mirza Muhammad Ismail,afghanistan,42.4,1235165845.0,C,SOUTH ASIA,2029.0
Sayed Jalal,afghanistan,42.4,1137130537.0,Start,SOUTH ASIA,2029.0
Said Tayeb Jawad,afghanistan,42.4,1248976824.0,C,SOUTH ASIA,2029.0
Sayed Jalal Karim,afghanistan,42.4,1136614743.0,Start,SOUTH ASIA,2029.0
Hafizullah Shabaz Khail,afghanistan,42.4,1238402857.0,Start,SOUTH ASIA,2029.0
Masoud Khalili,afghanistan,42.4,1246566971.0,GA,SOUTH ASIA,2029.0
Mohammad Khan (athlete),afghanistan,42.4,1247727443.0,Stub,SOUTH ASIA,2029.0
Samoud Khan,afghanistan,42.4,1195409073.0,Start,SOUTH ASIA,2029.0
Baran Khan Kudezai,afghanistan,42.4,1176481824.0,Start,SOUTH ASIA,2029.0
Azizullah Lodin,afghanistan,42.4,1247762293.0,Start,SOUTH ASIA,2029.0
Razaq Mamoon,afghanistan,42.4,1227180106.0,Start,SOUTH ASIA,2029.0
Fazel Ahmed Manawi,afghanistan,42.4,1234514379.0,Start,SOUTH ASIA,2029.0
Moeen Marastial,afghanistan,42.4,1246567093.0,Start,SOUTH ASIA,2029.0
Ahmad Wali Massoud,afghanistan,42.4,1221720658.0,Start,SOUTH ASIA,2029.0
Mohammad Daud Miraki,afghanistan,42.4,1227103354.0,C,SOUTH ASIA,2029.0
Abdul Sattar Mirzakwal,afghanistan,42.4,1145249317.0,Stub,SOUTH ASIA,2029.0
Abdul Karim Misaq,afghanistan,42.4,1235405154.0,Stub,SOUTH ASIA,2029.0
Ali Mohammad (politician),afghanistan,42.4,1136630194.0,Stub,SOUTH ASIA,2029.0
Nasruddin Mohseni,afghanistan,42.4,1136630129.0,Start,SOUTH ASIA,2029.0
Davood Moradian,afghanistan,42.4,1239319380.0,Stub,SOUTH ASIA,2029.0
