title,page_id,lastrevid,talkid,length,url,watched,watchers
Majah Ha Adrif,10483286,1233202991,13330265,3188.0,https://en.wikipedia.org/wiki/Majah_Ha_Adrif,,
Haroon al-Afghani,11966231,1230459615,15250816,17027.0,https://en.wikipedia.org/wiki/Haroon_al-Afghani,,
Tayyab Agha,46841383,1225661708,46843786,6346.0,https://en.wikipedia.org/wiki/Tayyab_Agha,,
Khadija Zahra Ahmadi,71600382,1234741562,71610138,2569.0,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,,
Aziza Ahmadyar,47805901,1195651393,47806200,3790.0,https://en.wikipedia.org/wiki/Aziza_Ahmadyar,,
Muqadasa Ahmadzai,70019038,1235521766,70021080,3796.0,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,,
Mohammad Sarwar Ahmedzai,27664854,1176429234,60642795,4420.0,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,,
Amir Muhammad Akhundzada,12084570,1247931713,23510494,8865.0,https://en.wikipedia.org/wiki/Amir_Muhammad_Akhundzada,,
Nasrullah Baryalai Arsalai,22588409,1225385278,22639116,7127.0,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,,
Abdul Rahim Ayoubi,44482763,1226326055,44489967,7313.0,https://en.wikipedia.org/wiki/Abdul_Rahim_Ayoubi,,
Ismael Balkhi,25153929,1244521219,28093455,6810.0,https://en.wikipedia.org/wiki/Ismael_Balkhi,,
Abdul Baqi Turkistani,27428272,1231655023,27595416,1357.0,https://en.wikipedia.org/wiki/Abdul_Baqi_Turkistani,,
Mohammad Ghous Bashiri,40960242,1237694188,40960350,2720.0,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,,
Jan Baz,10305348,1227635806,15014548,1776.0,https://en.wikipedia.org/wiki/Jan_Baz,,
Bashir Ahmad Bezan,27663861,1248505877,28093401,2298.0,https://en.wikipedia.org/wiki/Bashir_Ahmad_Bezan,,
Rafiullah Bidar,16351100,1197443408,28093476,3439.0,https://en.wikipedia.org/wiki/Rafiullah_Bidar,,
Mohammad Siddiq Chakari,14454477,1134129082,14454495,1808.0,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,,
Cheragh Ali Cheragh,24963809,1193992206,25410745,5351.0,https://en.wikipedia.org/wiki/Cheragh_Ali_Cheragh,,
Nasir Ahmad Durrani,59378987,988838315,59397424,2435.0,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,,
Muhammad Hashim Esmatullahi,26835722,949986748,26840249,2254.0,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,,
Ezatullah (Nangarhar),15842120,1158302291,18444293,1302.0,https://en.wikipedia.org/wiki/Ezatullah_(Nangarhar),,
Aimal Faizi,52438668,1185105938,52491442,2791.0,https://en.wikipedia.org/wiki/Aimal_Faizi,,
Gajinder Singh Safri,72903967,1212323536,73162614,1901.0,https://en.wikipedia.org/wiki/Gajinder_Singh_Safri,,
Sharif Ghalib,8054084,1245967190,8284074,10292.0,https://en.wikipedia.org/wiki/Sharif_Ghalib,,100.0
Hashmat Ghani Ahmadzai,13368923,1207743719,28093454,8585.0,https://en.wikipedia.org/wiki/Hashmat_Ghani_Ahmadzai,,108.0
Abdul Ghani Ghani,29443640,1227026187,29453228,1292.0,https://en.wikipedia.org/wiki/Abdul_Ghani_Ghani,,
Ghulam Ghaus,68918472,1158659195,69064071,1450.0,https://en.wikipedia.org/wiki/Ghulam_Ghaus,,
Ghulam Muhammad Ghobar,25630787,1240993642,27237347,3731.0,https://en.wikipedia.org/wiki/Ghulam_Muhammad_Ghobar,,
Mohammad Gul (Helmand Council),26027316,1136611354,26033667,1291.0,https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),,
Sayed Yousuf Halim,72051141,1234514565,72051146,4686.0,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,,
Rangina Hamidi,68487239,1234743111,68503822,12718.0,https://en.wikipedia.org/wiki/Rangina_Hamidi,,
Sayed Zafar Hashemi,52438868,1179137138,52492081,3053.0,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,,
Qutbuddin Hilal,41835910,1246566795,41837941,3403.0,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,,
Mahboba Hoqomal,35512380,1243745950,37057619,3137.0,https://en.wikipedia.org/wiki/Mahboba_Hoqomal,,
Musa Hotak,8575012,1246566804,9295688,3007.0,https://en.wikipedia.org/wiki/Musa_Hotak,,
Mirza Muhammad Ismail,39258771,1235165845,39258729,10878.0,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,,
Sayed Jalal,21500352,1137130537,21502485,2913.0,https://en.wikipedia.org/wiki/Sayed_Jalal,,
Said Tayeb Jawad,6392185,1248976824,7156482,29048.0,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,,68.0
Sayed Jalal Karim,27668571,1136614743,28093484,4009.0,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,,
Hafizullah Shabaz Khail,5294659,1238402857,6598565,7544.0,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,,
Masoud Khalili,3056711,1246566971,7104082,23129.0,https://en.wikipedia.org/wiki/Masoud_Khalili,,94.0
Mohammad Khan (athlete),45419022,1247727443,47327685,1245.0,https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),,
Samoud Khan,7493859,1195409073,9287527,4068.0,https://en.wikipedia.org/wiki/Samoud_Khan,,
Baran Khan Kudezai,23672202,1176481824,23992347,3759.0,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,,
Azizullah Lodin,24850187,1247762293,24850621,3067.0,https://en.wikipedia.org/wiki/Azizullah_Lodin,,
Razaq Mamoon,17013397,1227180106,28093653,4078.0,https://en.wikipedia.org/wiki/Razaq_Mamoon,,43.0
Fazel Ahmed Manawi,273143,1234514379,9295258,2608.0,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,,
Moeen Marastial,64024293,1246567093,64026333,7932.0,https://en.wikipedia.org/wiki/Moeen_Marastial,,
Ahmad Wali Massoud,34682634,1221720658,34682647,3529.0,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,,
Mohammad Daud Miraki,24781312,1227103354,24793110,6691.0,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,,
Abdul Sattar Mirzakwal,68481190,1145249317,68481193,2014.0,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,,
Abdul Karim Misaq,69128654,1235405154,69128772,2938.0,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,,
Ali Mohammad (politician),35520084,1136630194,37057022,2393.0,https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),,
Nasruddin Mohseni,35507800,1136630129,35512128,3654.0,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,,
Davood Moradian,41428570,1239319380,41631237,2260.0,https://en.wikipedia.org/wiki/Davood_Moradian,,
Zalmai Mujadidi,34497282,1223903677,34498009,5257.0,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,,
Sardar Mohammad Nadir Naeem,41840150,1204109653,41872390,2068.0,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,,
Daoud Naji,66087536,1247131367,66111399,5429.0,https://en.wikipedia.org/wiki/Daoud_Naji,,
Gholam Rabani Nasher,2333651,1136534788,7102786,2427.0,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,,
Ghulam Faroq Nijrabi,27669652,1136614778,28093423,1741.0,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,,
Zabih-U-llah Ghazi Noristani,27664625,1136614682,28093494,2975.0,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,,
Mohammed Tahir Omar,29170618,1185088733,34963842,2574.0,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,,
Mohammed Qalamuddin,212331,1178097642,745078,968.0,https://en.wikipedia.org/wiki/Mohammed_Qalamuddin,,
Ghulam Mohammad Rigi,27657851,1129192917,28093449,1535.0,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,,
Ghulam Hassan Safi,25634863,1176507815,27237342,1688.0,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,,
Hanifa Safi,36473152,1123824802,37045459,1885.0,https://en.wikipedia.org/wiki/Hanifa_Safi,,
Mohammed Zia Salehi,28566318,1225457074,36784816,1962.0,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,,
Abdul Majid Samim,27678731,1225425205,28093433,3823.0,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,,
Saber Sangar,51559994,1227951669,51595428,1676.0,https://en.wikipedia.org/wiki/Saber_Sangar,,
Sayed Nasim Mihanparast,34845573,1172646418,34845583,1711.0,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,,
Suhail Shaheen,68232272,1198363158,68279751,6532.0,https://en.wikipedia.org/wiki/Suhail_Shaheen,,
Fazal Hadi Shinwari,2202177,1242412237,8160597,15076.0,https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari,,
Baktash Siawash,38515087,1250972393,38515146,1302.0,https://en.wikipedia.org/wiki/Baktash_Siawash,,
Hasan Ali Sultani,27666240,1136614726,28093453,1975.0,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,,
Mohammad Hashem Taufiqui,23564221,1233490009,28093461,3605.0,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,,
Pacha Gul Wafadar,47145503,1227179979,47467474,2985.0,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,,
Wahidullah Waissi,52202939,1232389768,52225983,33842.0,https://en.wikipedia.org/wiki/Wahidullah_Waissi,,
Ahmadullah Wasiq,68624823,1171042170,68639469,5247.0,https://en.wikipedia.org/wiki/Ahmadullah_Wasiq,,
Gul Ahmmad Yama,27656776,1136614561,28093452,3324.0,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,,
Abdul Salam Zaeef,627316,1243758857,6597825,25071.0,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,,32.0
Abdul Zahir (Konar Education Minister),24671281,1126667481,28093437,869.0,https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),,
Mohammed Zaman,4928280,1229734414,7492387,5722.0,https://en.wikipedia.org/wiki/Mohammed_Zaman,,
Ziauddin (Afghan militia leader),12829636,1150044800,15015640,5470.0,https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),,
Qari Ziauddin,13849010,1245217124,15015662,3975.0,https://en.wikipedia.org/wiki/Qari_Ziauddin,,
Abdul Ghafor Zori,27656055,1136614520,28093426,2711.0,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,,
Ali Pasha of Gusinje,7249978,1244421894,10482642,11196.0,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,,32.0
Ylli Asllani,43393251,1221605713,43422107,2900.0,https://en.wikipedia.org/wiki/Ylli_Asllani,,
Azis Tahir Ajdonati,19887970,1192928746,25727972,1864.0,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,,
Bislim Bajgora,49011996,1217284690,49015444,7992.0,https://en.wikipedia.org/wiki/Bislim_Bajgora,,
Kastriot Berissa,52237560,1244463139,52283699,7665.0,https://en.wikipedia.org/wiki/Kastriot_Berissa,,
Bardhok Biba,30319287,1250227174,30319345,7501.0,https://en.wikipedia.org/wiki/Bardhok_Biba,,
Kostandin Boshnjaku,40754760,1250227994,40775176,21400.0,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,,
Spartak Braho,62554029,1224650124,62657955,3245.0,https://en.wikipedia.org/wiki/Spartak_Braho,,
Safet Butka,28634810,1189442848,28634870,9518.0,https://en.wikipedia.org/wiki/Safet_Butka,,
Uran Butka,60567913,1196422551,60955922,4404.0,https://en.wikipedia.org/wiki/Uran_Butka,,
Refo Çapari,31301973,1222381064,31302066,3211.0,https://en.wikipedia.org/wiki/Refo_%C3%87apari,,
Neritan Ceka,15675174,1184807608,18998538,4119.0,https://en.wikipedia.org/wiki/Neritan_Ceka,,
Hysni Curri,41892010,1198914812,42108932,12108.0,https://en.wikipedia.org/wiki/Hysni_Curri,,
Ibrahim Dalliu,48684644,1248264998,48823779,6918.0,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,,
Niazi Demi,27166018,1209346411,27166023,1470.0,https://en.wikipedia.org/wiki/Niazi_Demi,,
Abdurrahman Dibra,20381110,1244008227,22885710,5963.0,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,,
Bujar Dida,51293921,1222151681,51339924,10502.0,https://en.wikipedia.org/wiki/Bujar_Dida,,
Ahmed Dino,28065431,1209165678,28065434,2887.0,https://en.wikipedia.org/wiki/Ahmed_Dino,,
Rasih Dino,28077287,1180949327,28077291,3136.0,https://en.wikipedia.org/wiki/Rasih_Dino,,
Ferhat Bey Draga,41877968,1236738861,42937819,7324.0,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,,
Nexhip Draga,26992194,1236738502,26992198,10827.0,https://en.wikipedia.org/wiki/Nexhip_Draga,,
Aqif Pasha Elbasani,41985495,1243882903,52523169,10512.0,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,,
Abas Ermenji,20380987,1240801210,21281320,6047.0,https://en.wikipedia.org/wiki/Abas_Ermenji,,
Qamil Musa Haxhi Feza,32349690,1198224146,35706104,659.0,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,,
Themistokli Gërmenji,30489046,1241037317,30489112,12445.0,https://en.wikipedia.org/wiki/Themistokli_G%C3%ABrmenji,,
Sabri Godo,30559670,1230739582,30559676,10609.0,https://en.wikipedia.org/wiki/Sabri_Godo,,
Mihal Grameno,27373846,1226635783,27382654,10873.0,https://en.wikipedia.org/wiki/Mihal_Grameno,,
